AFF_LOVE_POINT	Pontos de Amor: %d%%
TOOLTIP_RESIST_EARTH	Resistência contra Terra +%d%%	SA
TOOLTIP_RESIST_ELEC	Resistência a Relâmpagos: %d%%	SA
TOOLTIP_RESIST_FIRE	Resistência contra Fogo: %d%%	SA
TOOLTIP_RESIST_ICE	Resistência contra Gelo +%d%%	SA
TOOLTIP_RESIST_MAGIC	Resistência a Magias: %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Sobram: %d
TOOLTIP_SEALED	Vinculado
TOOLTIP_SELLPRICE	Preço: %s
TOOLTIP_SHAMAN	Xamã
TOOLTIP_SHIELD	Escudo
TOOLTIP_SHOES	Sapatos
TOOLTIP_SKILL	Habilidades	SNA
TOOLTIP_SKILLBOOK_NAME	Livro de Habilidades
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Valor de Ataque: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Valor de Ataque:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Rapidez de Ataque: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Defesa:
TOOLTIP_SKILL_AFFECT_DODGE	Rapidez de Ataque do Oponente: -
TOOLTIP_SKILL_AFFECT_HEAL	Restaura VD:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Rapidez de Movimento: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Chance de reflectir ataques ao corpo:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Resistência a Danos Corporais:
TOOLTIP_SKILL_COOL_TIME	Tempo de carregamento: 
TOOLTIP_SKILL_DAMAGE_BONUS	Dano de Habilidades: %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Resistência contra Dano de Habilidades: %d%%	SA
TOOLTIP_SKILL_DURATION	Duração: %d Seg.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Livro do Esquecimento
TOOLTIP_SKILL_LEVEL	Nível Actual: %d
TOOLTIP_SKILL_LEVEL_MASTER	Nível Actual: %d (Mestre)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Nível Actual: %d (Máx. %d)
TOOLTIP_SOCKET_EMPTY	Vazio
TOOLTIP_SOCKET_REFINABLE_ITEM	[Item com Socket]
TOOLTIP_SP_REGEN	Regeneração de MN: +%d%%	SA
TOOLTIP_STR	Força: +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Tempo de Carregamento %d seg.	SA
TOOLTIP_TIME_CHARGER_PER	Tempo de Carregamento %d%%	SA
TOOLTIP_UNIQUE	Único
TOOLTIP_UNSEAL_LEFT_TIME	A remover vínculo em: %dH %dM
TOOLTIP_WARRIOR	Guerreiro
TOOLTIP_WEAPON	Arma
TOOLTIP_WRISTLET	Pulseira
UI_ACCEPT	Aceitar
UI_CANCEL	Cancelar
UI_CLOSE	Fechar
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Recusar
UI_ITEM	Item
UI_LEFT_TIME	Tempo Restante: %d Seg.
UI_NEXT	Continuar
UI_NEXTPAGE	Continuar
UI_NOCONTENTS	Sem Conteúdo
UI_NONAME	Sem Nome
UI_OK	OK
UI_POS_UNKNOWN	Localização Desconhecida
UI_PREVPAGE	retroceder
UI_UNKNOWN	Desconhecido
UPLOAD_MARK_CHECK_NEED_RECONNECT	O upload tem de começar de novo.
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	O upload tem de começar de novo.
USE_ITEM_FAILURE_PRIVATE_SHOP	Não podes usar este Item enquanto tiveres uma Loja Privada aberta.
USE_SKILL_ERROR_UNKNOWN	Erro de Habilidade desconhecido: %s
