AFF_LOVE_POINT	Πόντοι αγάπης: %d%%
TOOLTIP_APPLY_STUN_PCT	%d%% πιθανότητα λιποθυμίας	SA
TOOLTIP_ARMOR	Πανοπλία
TOOLTIP_ARROW	Βέλος
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Αξία Επίθεσης +%d	SA
TOOLTIP_ATT_SPEED	Ταχύτητα Επίθεσης +%d%%	SA
TOOLTIP_AUTO_POTION_HP	Ελιξήριο Ήλιου
TOOLTIP_AUTO_POTION_REST	Υπόλοιπο: %.2f%%
TOOLTIP_AUTO_POTION_SP	Ελιξήριο Φεγγαριού
TOOLTIP_AUTO_POTION_USING	Ενεργό
TOOLTIP_BOW_DISTANCE	Βεληνεκές Τόξου +%dm	SA
TOOLTIP_BUYPRICE	Τιμή: %s
TOOLTIP_CAST_SPEED	Ταχύτητα Μαγείας +%d%%	SA
TOOLTIP_CON	Ζωτικότητα +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Μπόνους φορεσιάς %d%%	SA
TOOLTIP_DEF_GRADE	’μυνα +%d	SA
TOOLTIP_DEX	Ευκινησία +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Γη	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Ουρανός	SNA
TOOLTIP_EAR	Σκουλαρίκι
TOOLTIP_ENERGY	Ενέργεια %d	SA
TOOLTIP_ETC	Και τα λοιπά
TOOLTIP_FISHINGROD_EXP	Βαθμοί: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Επίπεδο: %d
TOOLTIP_FISHINGROD_UPGRADE1	Δώσε το στον ψαρά,
TOOLTIP_FISHINGROD_UPGRADE2	για να λάβεις ένα
TOOLTIP_FISHINGROD_UPGRADE3	καλύτερο Καλάμι Ψαρέματος.
TOOLTIP_FISH_LEN	Μήκος: %.2fcm
TOOLTIP_HELMET	Κράνος
TOOLTIP_HP_REGEN	Αναγέννηση HP +%d%%	SA
TOOLTIP_INT	Ευφυΐα +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Αξία Επίθεσης %d
TOOLTIP_ITEM_ATT_POWER	Αξία Επίθεσης %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Αξία Επίθεσης %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Αξία Επίθεσης %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Ταχύτητα Επίθεσης %s
TOOLTIP_ITEM_DEF_GRADE	’μυνα %d
TOOLTIP_ITEM_FAST	Γρήγορα
TOOLTIP_ITEM_LIMIT_CON	Μέγιστο όριο ζωτικότητας (VIT): %d
TOOLTIP_ITEM_LIMIT_DEX	Ανώτατο όριο ευκινησίας: %d
TOOLTIP_ITEM_LIMIT_INT	Ανώτατο όριο Ευφυΐας: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Από Επίπεδο: %d
TOOLTIP_ITEM_LIMIT_STR	Ανώτατο όριο Δύναμης: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Αξία Μαγικής άμυνας %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Αξία Μαγικής άμυνας %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Μαγική άμυνα %d
TOOLTIP_ITEM_NORMAL	Κανονικό
TOOLTIP_ITEM_SLOW	Αργό
TOOLTIP_ITEM_VERY_FAST	Πολύ Γρήγορο
TOOLTIP_ITEM_VERY_SLOW	Πολύ Αργό
TOOLTIP_ITEM_WEARABLE_JOB	[ Φοριέται ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Τυχερός Αριθμός: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Μαγική επίθεση +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Αξία Μαγικής άμυνας +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Μαγική άμυνα +%d	SA
TOOLTIP_MALL_ATTBONUS	Αξία Επίθεσης +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Αξία Επίθεσης +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	Χέρι που μαζεύει αυτόματα τα πεσμένα Yang	SNA
TOOLTIP_MALL_DEFBONUS	’μυνα +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	’μυνα +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	Αυξάνει την EXP που κερδίζεις κατά 50%	SNA
TOOLTIP_MALL_FISH_MIND	Διπλασιάζει την πιθανότητα να πιάσεις ψάρι.	SNA
TOOLTIP_MALL_GOLDBONUS	Η πιθανότητα να βρεις Yang πολλαπλασιάζεται επί %.1f	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Διπλασιάζει την πιθανότητα να βρεις Yang	SNA
TOOLTIP_MALL_ITEMBONUS	Η πιθανότητα να βρεις αντικείμενα πολλαπλασιάζεται επί %.1f	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Πιθανότητα να βρεις αντικείμενα συν %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Διπλασιάζει την πιθανότητα να βρεις αντικείμενα	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Οι βαθμοί αγάπης αυξάνονται γρηγορότερα.	SNA
TOOLTIP_MALL_SAFEBOX	Κερδίζεις 2 επιπλέον αποθηκευτικούς χώρους	SNA
TOOLTIP_MAX_HP	Μεγ. HP +%d	SA
TOOLTIP_MAX_HP_PCT	Μεγ. HP +%d%%	SA
TOOLTIP_MAX_SP	Μεγ. SP +%d	SA
TOOLTIP_MAX_SP_PCT	Μεγ. SP +%d%%	SA
TOOLTIP_MAX_STAMINA	Μεγ. Αντοχή +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Μαγική επίθεση/εξ επαφής +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)
TOOLTIP_MOV_SPEED	Ταχύτητα %d%%	SA
TOOLTIP_NECK	Περιδέραιο
TOOLTIP_NEED_ALL_SP	Απαιτούμενη SP: Μεγ.
TOOLTIP_NEED_GSP	Απαιτούμενο Δρακοφάντασμα: %d
TOOLTIP_NEED_HP	Απαιτούμενη HP: %d
TOOLTIP_NEED_HP_PER_SEC	HP / Δευτ.: %d
TOOLTIP_NEED_SKILL_POINT	Απαιτούμενοι Βαθμοί Ικανοτήτων:
TOOLTIP_NEED_SP	Απαιτούμενη SP: %d
TOOLTIP_NEED_SP_PER_SEC	SP / Δευτ.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Επόμενο Επίπεδο: %d (Μεγ. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Επόμενο Επίπεδο: %d (Μεγ. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Μέση Ζημιά %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Μέση Αντίσταση Ζημιάς %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Πάνω από %d μέλη Ομάδας
TOOLTIP_PARTY_INFO_GRADE_UP2	Επίπεδο Επίθεσης +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Επίπεδο ’μυνας +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Ανάκτηση HP/SP όλων των μελών της ομάδας για 60 λεπτά.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Ανάκτηση HP/SP όλων των μελών της ομάδας για 30 λεπτά.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Πρέπει να περιμένεις 3 λεπτά μετά το θάνατο μέλους.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Μπορείς να καλέσεις μέλη της ομάδας που είναι στον ίδιο server.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Επίπεδο Επίθεσης +(Αριθμός Μελών Ομάδας./2) Επιτιθέμενος %d μπορεί να επιλεγεί.
TOOLTIP_PARTY_INFO_SET_TANKER	Επίπεδο άμυνας +( Αριθμός Μελών Ομάδας) Μαχητές Σώμα με Σώμα 1 μπορούν να επιλεγούν.
TOOLTIP_PARTY_SKILL_LEVEL	Τρέχον Επίπεδο: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Αναβαθμίστηκε Επίθεση/’μυνα]
TOOLTIP_PARTY_TITLE_HEAL	[αποκατάσταση]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Όταν έχεις πάνω από %d μέλη ομάδας, παίρνεις %d%% Bonus EXP .
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Κλήση]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Σύνταξε Επιτιθέμενο]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Σύνταξε μαχητή Σώμα με Σώμα]
TOOLTIP_PICK_EXP	Βαθμοί: %d / %d
TOOLTIP_PICK_LEVEL	Επίπεδο: %d
TOOLTIP_PICK_UPGRADE1	Δώσ' το στον Υλοτόμο,
TOOLTIP_PICK_UPGRADE2	για να σου δώσει μία
TOOLTIP_PICK_UPGRADE3	αναβαθμισμένη Αξίνα.
TOOLTIP_POTION_CURE	Θεραπεία αρνητικών επιδράσεων.
TOOLTIP_POTION_MIN	Λεπ.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Ταχύτητα επίθεσης +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	HP +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Ταχύτητα +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	SP +%d
TOOLTIP_POTION_SEC	Δευτ.
TOOLTIP_POTION_TIME	Διάρκεια:
TOOLTIP_REQUIREMENT_21_LEVEL	Πρέπει να έχεις φθάσει στο Επίπεδο 21.
TOOLTIP_REQUIREMENT_41_LEVEL	Πρέπει να έχεις φθάσει στο Επίπεδο 41.
TOOLTIP_REQUIREMENT_LEVEL	Πρέπει να έχεις φθάσει στο Επίπεδο %d.
TOOLTIP_REQUIREMENT_SKILL_LEVEL	Απαιτείται %s Επίπεδο %d.
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d χρειάζεται
TOOLTIP_RESIST_BOW	Αντίσταση Βέλους %d%%	SA
TOOLTIP_RESIST_DARK	Αντίσταση στο σκότος +%d	SA
TOOLTIP_RESIST_EARTH	Αντίσταση στη γη +%d	SA
TOOLTIP_RESIST_ELEC	Αντίσταση Αστραπής %d%%	SA
TOOLTIP_RESIST_FIRE	Αντίσταση Φωτιάς %d%%	SA
TOOLTIP_RESIST_ICE	Αντίσταση στον πάγο +%d	SA
TOOLTIP_RESIST_MAGIC	μαγική Αντίσταση %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Υπόλοιπο: %d
TOOLTIP_SEALED	Ψυχικά δεμένο
TOOLTIP_SELLPRICE	Τιμή: %s
TOOLTIP_SHAMAN	Σαμάνος
TOOLTIP_SHIELD	Ασπίδα
TOOLTIP_SHOES	Παπούτσια
TOOLTIP_SKILL	Ικανότητες	SNA
TOOLTIP_SKILLBOOK_NAME	Βιβλίο Ικανοτήτων
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Αξία Επίθεσης: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Αξία Επίθεσης:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Ταχύτητα Επίθεσης: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	’μυνα:
TOOLTIP_SKILL_AFFECT_DODGE	Αξία Επίθεσης Αντίπαλου: -
TOOLTIP_SKILL_AFFECT_HEAL	Επαναφορά HP:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Ταχύτητα Κίνησης: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Πιθανότητα απώθησης σωματικής επίθεσης:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Αντίσταση ενάντια στη Ζημιά Σώματος:
TOOLTIP_SKILL_COOL_TIME	Χρόνος Φόρτωσης: 
TOOLTIP_SKILL_DAMAGE_BONUS	Ζημιά Ικανοτήτων %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Αντίσταση ενάντια στη Ζημιά Ικανότητας %d%%	SA
TOOLTIP_SKILL_DURATION	Διάρκεια: %d Δευτ.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Βιβλίο της Λήθης
TOOLTIP_SKILL_LEVEL	Τρέχον Επίπεδο: %d
TOOLTIP_SKILL_LEVEL_MASTER	Τρέχον Επίπεδο: %d (Master)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Τρέχον Επίπεδο: %d (Μεγ. %d)
TOOLTIP_SOCKET_EMPTY	’δειο
TOOLTIP_SOCKET_REFINABLE_ITEM	[Αντικείμενο με υποδοχή]
TOOLTIP_SP_REGEN	Αναγέννηση SP +%d%%	SA
TOOLTIP_STR	Δύναμη +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Ανανέωση χρόνου %d δευτ.	SA
TOOLTIP_TIME_CHARGER_PER	Ανανέωση χρόνου %d%%	SA
TOOLTIP_UNIQUE	Μοναδικό
TOOLTIP_UNSEAL_LEFT_TIME	Ψυχικό λύσιμο σε: %dH %dM
TOOLTIP_WARRIOR	Πολεμιστής
TOOLTIP_WEAPON	Όπλο
TOOLTIP_WRISTLET	Περικάρπιο
UI_ACCEPT	Αποδοχή
UI_CANCEL	Ακύρωση
UI_CLOSE	Κλείσιμο
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Απόρριψε
UI_ITEM	Αντικείμενο
UI_LEFT_TIME	Χρόνος που απομένει: %d Δευτ.
UI_NEXT	Συνέχισε
UI_NEXTPAGE	Συνέχεια
UI_NOCONTENTS	Χωρίς Περιεχόμενο
UI_NONAME	Χωρίς Όνομα
UI_OK	OK
UI_POS_UNKNOWN	’γνωστο μέρος
UI_PREVPAGE	πίσω
UI_UNKNOWN	’γνωστος
UPLOAD_MARK_CHECK_NEED_RECONNECT	Πρέπει να γίνει σύνδεση εκ νέου.
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Πρέπει να γίνει σύνδεση εκ νέου.
USE_ITEM_FAILURE_PRIVATE_SHOP	Δεν μπορείς να χρησιμοποιήσεις αντικείμενα όσο έχεις ανοιχτό το ιδιωτικό κατάστημα.
USE_SKILL_ERROR_UNKNOWN	’γνωστο σφάλμα ικανοτήτων: %s
