AFF_LOVE_POINT	Liefdespunten: %d%%	
TOOLTIP_PARTY_INFO_SET_ATTACKER	Aanvals Level +(Getal Groepsleden./2) Aanvaller %d kan gekozen worden.	
TOOLTIP_PARTY_INFO_SET_TANKER	Verdedigings Level +( Getal Groepsleden) Mesvechters 1 kan gekozen worden.	
TOOLTIP_PARTY_SKILL_LEVEL	Huidige Level: %d	
TOOLTIP_PARTY_TITLE_GRADE_UP	[Aanval/Verdediging geüpgrade]	
TOOLTIP_PARTY_TITLE_HEAL	[herstel]	
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Wanneer je meer dan %d Groepsleden hebt krijg je %d%% Bonus ERV.	
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus ERV]	
TOOLTIP_PARTY_TITLE_RECALL	[Roep]	
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Benoem Aanvaller]	
TOOLTIP_PARTY_TITLE_SET_TANKER	[Benoem Mes Vechter]	
TOOLTIP_PICK_EXP	Punten: %d / %d	
TOOLTIP_PICK_LEVEL	Level: %d	
TOOLTIP_PICK_UPGRADE1	Geef het aan de Houthakker
TOOLTIP_PICK_UPGRADE2	om een
TOOLTIP_PICK_UPGRADE3	Pikhouweel.
TOOLTIP_POTION_CURE	Heel negative effecten.	
TOOLTIP_POTION_MIN	Min.	
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Aanvals snelheid +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	LP +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	LP +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Beweeg snelheid +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	TP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	TP +%d
TOOLTIP_POTION_SEC	Sec.	
TOOLTIP_POTION_TIME	Duratie:	
TOOLTIP_REQUIREMENT_21_LEVEL	Je moet Level 21 bereikt hebben.	
TOOLTIP_REQUIREMENT_41_LEVEL	Je moet Level 41 bereikt hebben.	
TOOLTIP_REQUIREMENT_LEVEL	Je moet Level %d bereikt hebben.	
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Level %d nodig.	
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d nodig	
TOOLTIP_RESIST_BOW	Pijl Weerstand %d%%	SA
TOOLTIP_RESIST_DARK	Weerstand tegen duisternis +%d%%	SA
TOOLTIP_RESIST_EARTH	Aarde weerstand +%d%%	SA
TOOLTIP_RESIST_ELEC	Bliksem Weerstand %d%%	SA
TOOLTIP_RESIST_FIRE	Vuur Weerstand %d%%	SA
TOOLTIP_RESIST_ICE	Ijsweerstand +%d%%	SA
TOOLTIP_RESIST_MAGIC	Magie Weerstand %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Over: %d	
TOOLTIP_SEALED	Zielsgebonden
TOOLTIP_SELLPRICE	Prijs: %s	
TOOLTIP_SHAMAN	Sjamaan	
TOOLTIP_SHIELD	Schild	
TOOLTIP_SHOES	Shoenen	
TOOLTIP_SKILL	Vaardigheden	SNA
TOOLTIP_SKILLBOOK_NAME	Vaardigheden Boek	
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Aanvals Waarde: +	
TOOLTIP_SKILL_AFFECT_ATT_POWER	Aanvals Waarde:	
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Aanvals Snelheid: +	
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Verdediging:	
TOOLTIP_SKILL_AFFECT_DODGE	Opponent Aanvals Waarde: -	
TOOLTIP_SKILL_AFFECT_HEAL	Herstel LP:	
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Beweeg Snelheid: +	
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Kans om fysieke aanvallen te weerkaatsen:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Weertand tegen Lichaam Schade:	
TOOLTIP_SKILL_COOL_TIME	Laadtijd: 
TOOLTIP_SKILL_DAMAGE_BONUS	Vaardigheid Schade %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Weerstand tegen Vaardigheden Schade %d%%	SA
TOOLTIP_SKILL_DURATION	Duratie: %d Sec.	
TOOLTIP_SKILL_FORGET_BOOK_NAME	Boek der Vergetelheid	
TOOLTIP_SKILL_LEVEL	Huidige Level: %d	
TOOLTIP_SKILL_LEVEL_MASTER	Huidige Level: %d (Meester)	
TOOLTIP_SKILL_LEVEL_WITH_MAX	Huidige Level: %d (Max. %d)	
TOOLTIP_SOCKET_EMPTY	Leeg	
TOOLTIP_SOCKET_REFINABLE_ITEM	[Voorwerp met een fitting]	
TOOLTIP_SP_REGEN	TP Regeneratie +%d%%	SA
TOOLTIP_STR	Kracht +%d	SA
TOOLTIP_SURA	Sura	
TOOLTIP_TIME_CHARGER_FIX	Tijdopladen %d sec.	SA
TOOLTIP_TIME_CHARGER_PER	Tijd opladen %d%%	SA
TOOLTIP_UNIQUE	Uniek	
TOOLTIP_UNSEAL_LEFT_TIME	Verwijdering van zielsgebonden over: %du %dm
TOOLTIP_WARRIOR	Krijger	
TOOLTIP_WEAPON	Wapen	
TOOLTIP_WRISTLET	Armband
UI_ACCEPT	Accepteer	
UI_CANCEL	Annuleer	
UI_CLOSE	Sluit	
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Afwijzen	
UI_ITEM	Voorwerp	
UI_LEFT_TIME	Resterende Tijd: %d Sec.	
UI_NEXT	Doorgaan	
UI_NEXTPAGE	Volgende
UI_NOCONTENTS	Geen Inhoud	
UI_NONAME	Geen Naam	
UI_OK	OK	
UI_POS_UNKNOWN	Onbekende Plek	
UI_PREVPAGE	terug
UI_UNKNOWN	Onbekend	
UPLOAD_MARK_CHECK_NEED_RECONNECT	De upload moet opnieuw gestart worden.	
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	De upload moet opnieuw gestart worden.	
USE_ITEM_FAILURE_PRIVATE_SHOP	Je kunt voorwerpen niet gebruiken terwijl je privé warenhuis open is.
USE_SKILL_ERROR_UNKNOWN	Onbekend Vaardigheids Error: %s	
