AFF_LOVE_POINT	Kærlighedspoint: %d%%
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Angrebsværdi: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Angrebsværdi:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Angrebshastighed: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Forsvar:
TOOLTIP_SKILL_AFFECT_DODGE	Fjendtlig Angrebsværdi: -
TOOLTIP_SKILL_AFFECT_HEAL	HP gendannelse:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Bevægelseshastighed: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Sandsynligheden for at reflektere fysisk skade:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Modstand mod fysisk skade:
TOOLTIP_SKILL_COOL_TIME	Opladningstid: 
TOOLTIP_SKILL_DAMAGE_BONUS	Færdighedsskade %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Modstand mod færdighedsskade %d%%	SA
TOOLTIP_SKILL_DURATION	Længde: %d Sek.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Forglemmelses bog
TOOLTIP_SKILL_LEVEL	Level: %d
TOOLTIP_SKILL_LEVEL_MASTER	Level: %d (mester)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Level: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Tom
TOOLTIP_SOCKET_REFINABLE_ITEM	[Genstand med indfatning]
TOOLTIP_SP_REGEN	MP-Regeneration +%d%%	SA
TOOLTIP_STR	Styrke +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Opladning af tid %d sek.	SA
TOOLTIP_TIME_CHARGER_PER	Opladning af tid %d sek.	SA
TOOLTIP_UNIQUE	Enestående
TOOLTIP_UNSEAL_LEFT_TIME	Fjerner sjælebinding om: %dH %dM
TOOLTIP_WARRIOR	Kriger
TOOLTIP_WEAPON	Våben
TOOLTIP_WRISTLET	Armbånd
UI_ACCEPT	Accepter
UI_CANCEL	Afbryd
UI_CLOSE	Luk
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Afvise
UI_ITEM	Genstand
UI_LEFT_TIME	Tid til overs: %d Sek.
UI_NEXT	Fortsæt
UI_NEXTPAGE	Næste
UI_NOCONTENTS	Intet indhold
UI_NONAME	Intet navn
UI_OK	OK
UI_POS_UNKNOWN	Ukendt position
UI_PREVPAGE	tilbage
UI_UNKNOWN	Ukendt
UPLOAD_MARK_CHECK_NEED_RECONNECT	Upload skal genstartes
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Upload skal genstartes
USE_ITEM_FAILURE_PRIVATE_SHOP	Du kan ikke bruge den genstand mens du har åbnet for en privat butik.
USE_SKILL_ERROR_UNKNOWN	Ukendt færdighedsfejl: %s
